"French_Muni","Swiss_Muni","local_admin_unit_id_from","local_admin_unit_id_to","flow_volume","nb.vehicles","distance","duration","share_in_ch","nb_vehicles_adj"
"Blotzheim - Rhin (Haut-) - fr-68042","Boncourt - Jura - ch-6774","fr-68042","ch-6774",2.02323215980658,1.7521190503925,46.925,53.9666666666667,0.0839688170958192,1.16807936692833
"Blotzheim - Rhin (Haut-) - fr-68042","Delémont - Jura - ch-6711","fr-68042","ch-6711",4.28530808508911,3.71107680168717,52.403,51.75,0.25864430004061,2.47405120112478
"Blotzheim - Rhin (Haut-) - fr-68042","Haute-Sorne - Jura - ch-6729","fr-68042","ch-6729",1.33439736465968,1.15558811779528,53.796,61.4333333333333,0.411955802181524,0.770392078530187
"Blotzheim - Rhin (Haut-) - fr-68042","Porrentruy - Jura - ch-6800","fr-68042","ch-6800",3.86653543687675,3.34841968833526,47.686,51.4333333333333,0.248894360991332,2.23227979222351
"Bollwiller - Rhin (Haut-) - fr-68043","Basel - Bâle-Ville - ch-2701","fr-68043","ch-2701",171.321442160081,141.682832666387,46.996,38.65,0.0641904910039834,94.4552217775916
"Bollwiller - Rhin (Haut-) - fr-68043","Riehen - Bâle-Ville - ch-2703","fr-68043","ch-2703",3.38186678407338,2.79680383042868,51.807,41,0.0343519028199728,1.86453588695246
"Bollwiller - Rhin (Haut-) - fr-68043","Boncourt - Jura - ch-6774","fr-68043","ch-6774",1.76995754570478,1.46375489029785,70.009,50.9333333333333,0.0375056058757141,0.9758365935319
"Bollwiller - Rhin (Haut-) - fr-68043","Delémont - Jura - ch-6711","fr-68043","ch-6711",3.74885963734298,3.10030692008264,89.082,72.9333333333333,0.13504697791753,2.0668712800551
"Bollwiller - Rhin (Haut-) - fr-68043","Porrentruy - Jura - ch-6800","fr-68043","ch-6800",3.38251027647225,2.79733599864255,85.087,59.0166666666667,0.169648661176594,1.8648906657617
"Le Bonhomme - Rhin (Haut-) - fr-68044","Basel - Bâle-Ville - ch-2701","fr-68044","ch-2701",1.26726588850962,0.942845821051156,91.233,74.9166666666667,0.031000112885472,0.628563880700771
"Bourbach-le-Bas - Rhin (Haut-) - fr-68045","Basel - Bâle-Ville - ch-2701","fr-68045","ch-2701",2.38529946179447,2.12768711992066,59.773,48.9833333333333,0.0673690102960471,1.41845807994711
"Bourbach-le-Haut - Rhin (Haut-) - fr-68046","Basel - Bâle-Ville - ch-2701","fr-68046","ch-2701",1.78375283745401,1.4466235511752,66.227,60,0.0632782707014117,0.964415700783466
"Bouxwiller - Rhin (Haut-) - fr-68049","Basel - Bâle-Ville - ch-2701","fr-68049","ch-2701",5.44110688732717,4.39641436496035,24.768,30.7166666666667,0.373146247323356,2.93094290997357
"Bréchaumont - Rhin (Haut-) - fr-68050","Basel - Bâle-Ville - ch-2701","fr-68050","ch-2701",4.99766866082694,4.49790179474425,60.619,50.2666666666667,0.0665941329970211,2.99860119649616
"Breitenbach-Haut-Rhin - Rhin (Haut-) - fr-68051","Basel - Bâle-Ville - ch-2701","fr-68051","ch-2701",1.37903512381267,1.22458318994565,84.757,71.0833333333333,0.0415757019782538,0.816388793297101
"Bretten - Rhin (Haut-) - fr-68052","Basel - Bâle-Ville - ch-2701","fr-68052","ch-2701",2.24116076636604,2.11789692421591,58.822,46.4166666666667,0.0653627627878201,1.4119312828106
"Brinckheim - Rhin (Haut-) - fr-68054","Basel - Bâle-Ville - ch-2701","fr-68054","ch-2701",17.4232143857465,14.8097322278845,14.991,21.0333333333333,0.250042778858422,9.87315481858968
"Bruebach - Rhin (Haut-) - fr-68055","Basel - Bâle-Ville - ch-2701","fr-68055","ch-2701",44.4804414318469,38.3421405142521,28.253,32.65,0.12374412101789,25.5614270095014
"Brunstatt-Didenheim - Rhin (Haut-) - fr-68056","Basel - Bâle-Ville - ch-2701","fr-68056","ch-2701",343.421804492702,276.111130812132,32.547,38.3333333333333,0.108942591043293,184.074087208088
"Brunstatt-Didenheim - Rhin (Haut-) - fr-68056","Riehen - Bâle-Ville - ch-2703","fr-68056","ch-2703",6.77910936831364,5.45040393212416,37.359,40.6666666666667,0.0504934190654534,3.63360262141611
"Brunstatt-Didenheim - Rhin (Haut-) - fr-68056","Boncourt - Jura - ch-6774","fr-68056","ch-6774",3.54796227814523,2.85256167162876,40.757,49.1,0.0632130951954226,1.90170778108584
"Brunstatt-Didenheim - Rhin (Haut-) - fr-68056","Delémont - Jura - ch-6711","fr-68056","ch-6711",7.51476362336016,6.04186995318157,57.511,67.8,0.192898954305775,4.02791330212105
"Brunstatt-Didenheim - Rhin (Haut-) - fr-68056","Haute-Sorne - Jura - ch-6729","fr-68056","ch-6729",2.34001396771072,1.88137123003942,58.761,73.4833333333333,0.269810317638079,1.25424748669295
"Brunstatt-Didenheim - Rhin (Haut-) - fr-68056","Le Noirmont - Jura - ch-6754","fr-68056","ch-6754",2.19820306444611,1.76735526381467,81.682,88.1,0.493542360264324,1.17823684254312
"Brunstatt-Didenheim - Rhin (Haut-) - fr-68056","Les Breuleux - Jura - ch-6743","fr-68056","ch-6743",1.50255696225302,1.20805579765143,82.784,89.6666666666667,0.554808472320903,0.805370531767621
"Brunstatt-Didenheim - Rhin (Haut-) - fr-68056","Porrentruy - Jura - ch-6800","fr-68056","ch-6800",6.78039927877674,5.4514410201365,46.519,55.9666666666667,0.273445505314527,3.63429401342433
